iter	Passed	Remaining
1491	244932	575887
1492	245093	575716
1493	245257	575550
1494	245431	575408
1495	245600	575257
1496	245770	575106
1497	245936	574946
1498	246114	574813
1499	246286	574668
1500	246449	574501
1501	246621	574354
1502	246783	574185
1503	246944	574013
1504	247131	573904
1505	247295	573738
1506	247459	573574
1507	247612	573384
1508	247791	573255
1509	247957	573093
1510	248122	572932
1511	248299	572795
1512	248457	572617
1513	248625	572463
1514	248797	572316
1515	248965	572161
1516	249137	572013
1517	249317	571886
1518	249491	571745
1519	249649	571565
1520	249819	571414
1521	249987	571258
1522	250159	571113
1523	250330	570964
1524	250489	570787
1525	250660	570637
1526	250835	570499
1527	251006	570349
1528	251177	570200
1529	251344	570041
1530	251524	569914
1531	251686	569745
1532	251851	569581
1533	252016	569418
1534	252189	569273
1535	252342	569084
1536	252511	568932
1537	252675	568765
1538	252838	568598
1539	253016	568466
1540	253190	568322
1541	253359	568168
1542	253526	568010
1543	253678	567819
1544	253841	567651
1545	254012	567502
1546	254180	567346
1547	254371	567241
1548	254551	567111
1549	254745	567014
1550	254925	566885
1551	255106	566757
1552	255292	566640
1553	255462	566488
1554	255643	566360
1555	255808	566198
1556	255986	566064
1557	256151	565901
1558	256329	565765
1559	256505	565627
1560	256679	565485
1561	256866	565368
1562	257039	565223
1563	257203	565058
1564	257377	564914
1565	257549	564766
1566	257720	564616
1567	257876	564434
1568	258043	564275
1569	258215	564126
1570	258392	563988
1571	258565	563844
1572	258735	563691
1573	258897	563522
1574	259073	563381
1575	259244	563231
1576	259412	563074
1577	259582	562923
1578	259746	562755
1579	259912	562595
1580	260088	562454
1581	260266	562320
1582	260431	562157
1583	260608	562019
1584	260777	561864
1585	260941	561697
1586	261105	561533
1587	261263	561354
1588	261422	561178
1589	261611	561066
1590	261779	560909
1591	261953	560764
1592	262119	560602
1593	262282	560435
1594	262449	560276
1595	262614	560113
1596	262783	559958
1597	262947	559791
1598	263130	559667
1599	263297	559507
1600	263461	559340
1601	263631	559187
1602	263799	559030
1603	263970	558879
1604	264142	558731
1605	264315	558585
1606	264482	558425
1607	264676	558322
1608	264861	558200
1609	265037	558060
1610	265225	557945
1611	265384	557768
1612	265546	557598
1613	265698	557407
1614	265879	557277
1615	266038	557099
1616	266211	556953
1617	266371	556779
1618	266546	556635
1619	266718	556487
1620	266893	556344
1621	267060	556184
1622	267237	556045
1623	267406	555888
1624	267567	555717
1625	267748	555586
1626	267903	555402
1627	268084	555269
1628	268243	555095
1629	268405	554924
1630	268560	554739
1631	268738	554603
1632	268914	554460
1633	269092	554324
1634	269254	554154
1635	269431	554014
1636	269595	553848
1637	269773	553711
1638	269938	553546
1639	270102	553380
1640	270271	553225
1641	270449	553087
1642	270619	552933
1643	270791	552783
1644	270947	552600
1645	271107	552426
1646	271272	552262
1647	271440	552104
1648	271619	551968
1649	271787	551811
1650	271961	551666
1651	272119	551486
1652	272290	551334
1653	272472	551204
1654	272642	551050
1655	272809	550891
1656	272972	550721
1657	273132	550548
1658	273295	550379
